,9
run_id,9.0
n_neighbors,24.0
min_cluster_size,6.0
min_samples,2.0
cluster_selection_epsilon,0.2
label_count,5.0
dbcv,0.14335246086810294
llm_score,1.0
final_cost,0.5716762304340515
