,7
run_id,7.0
n_neighbors,12.0
min_cluster_size,24.0
min_samples,2.0
cluster_selection_epsilon,0.05
label_count,3.0
dbcv,0.6837806987402137
llm_score,1.0
final_cost,0.8418903493701069
