,10
run_id,10.0
n_neighbors,9.0
min_cluster_size,3.0
min_samples,2.0
cluster_selection_epsilon,0.1
label_count,32.0
dbcv,0.31684349442303616
llm_score,1.0
final_cost,0.6584217472115181
