,0
run_id,0.0
n_neighbors,6.0
min_cluster_size,9.0
min_samples,2.0
cluster_selection_epsilon,0.1
label_count,21.0
dbcv,0.25475270654645227
llm_score,0.7033333333333334
final_cost,0.47904301993989284
