,0
run_id,0.0
n_neighbors,6.0
min_cluster_size,6.0
min_samples,8.0
cluster_selection_epsilon,0.15
label_count,6.0
dbcv,0.08789250165847134
llm_score,0.7333333333333334
final_cost,0.41061291749590234
